0	1	1	CROSS
1	2	1	FOLEY
2	3	1	MUSTAINE
3	4	1	LETTERMAN
4	5	1	BOWIE
5	6	1	DLR
6	7	1	2001
7	8	1	COULIER
8	9	1	GAHAN
9	10	1	THOMAS
10	11	1	WENDYS
11	12	1	MURRAY
12	13	0.5	HASSELHOFF
13	14	1	THEWLIS
14	15	1	DUCHOVNY
15	16	0.5	LYNCH
16	17	1	JONES
17	18	0.3	PIRATES
18	19	1	VANIAN
19	20	1	BYRNE
20	21	0.3	DAVIES
21	22	0.5	THE DAVE
22	23	0.5	GNOME
23	24	1	SUPER
24	25	0.5	IKNOW
25	26	1	RUFFIN
26	27	1	GRIER
27	28	1	KEITH
28	29	1	THOMPSON
29	30	1	WALKER
30	31	1	ATTENBOROUGH
31	32	1	GILMOUR
32	33	0.5	DAVID NO
33	34	0.3	DAVIE JAMES DIO
34	35	1	CROSBY
35	36	0.5	BANNER
36	37	1	CRONENBERG
